date,SPY,QQQ,DIA,TLT,GLD,EFA,EEM,BND,VNQ
2007-04-10 00:00:00+00:00,105.3315469373,39.0112081073,86.2020754987,54.2324894973,67.16,48.0632786723,29.1074662867,45.7156064296,40.672618674
2007-04-11 00:00:00+00:00,104.9018028237,38.600839535,85.7284754343,54.1952717303,67.08,47.8299021595,28.8387967446,45.5940870079,40.0666951183
2007-04-12 00:00:00+00:00,105.3679683004,38.9064331527,86.0785276558,54.2076776526,66.99,48.1492594929,29.3209626193,45.5880110368,39.7940295183
2007-04-13 00:00:00+00:00,105.8487036333,38.9850143687,86.5864465655,54.0401977011,67.84,48.3089381595,29.4984764239,45.5150993838,40.243422822
2007-04-16 00:00:00+00:00,106.8538656584,39.3429954637,87.197322011,54.3379398372,68.4,48.8186815955,29.8295156811,45.5576311814,40.2939164517
2007-04-17 00:00:00+00:00,107.1379345173,39.4303079258,87.6846496135,54.6418849344,68.0,48.8248230827,29.6544007117,45.673074632,40.8190501999
2007-04-18 00:00:00+00:00,107.2690493847,39.2993392326,87.8836989159,54.9148152258,68.38,48.8063986211,29.4289102032,45.7581382272,40.5665820517
2007-04-19 00:00:00+00:00,107.2399082153,39.4215766796,87.9386090683,54.8217708083,67.53,48.6221540057,29.196223189,45.7399103139,40.2939164517
2007-04-20 00:00:00+00:00,108.2523606315,39.6398578351,89.0064399383,54.6791027014,68.7,49.1810293391,29.5440542926,45.7277583717,40.5968782295
2007-04-23 00:00:00+00:00,107.8444680246,39.7009765586,88.7316650986,54.8775974588,68.26,48.7019933391,29.3881300048,45.7885180826,41.0513208963
2007-04-24 00:00:00+00:00,107.8881688529,39.9017952217,88.9446155994,55.0822951774,67.73,48.6712859032,29.4313090384,45.8614297356,40.7736059333
2007-04-25 00:00:00+00:00,108.8787712191,40.4344012411,89.7277238924,54.8900033812,67.89,49.1257559545,29.75515179,45.8249739091,40.7483591184
2007-04-26 00:00:00+00:00,109.002594967,40.6439511503,90.1261474099,54.4930138664,66.87,48.8985209288,29.7071750861,45.7277583717,40.7736059333
2007-04-27 00:00:00+00:00,108.9151925821,40.6614136428,90.1467555229,54.480607944,67.56,48.7941156468,29.5680426446,45.7185228957,40.672618674
2007-04-30 00:00:00+00:00,108.0119926008,40.1288076234,89.7620707474,54.846582653,67.09,48.6160125186,28.9875245268,45.8675057067,40.0162014887
2007-05-01 00:00:00+00:00,108.2887819945,40.0895170154,90.1879717489,55.0909904884,66.69,48.5668806211,29.1026686163,45.8413510815,39.6677954442
2007-05-02 00:00:00+00:00,108.9224720473,40.5304449495,90.7718682831,55.0598621177,66.66,48.9353698519,29.6807878989,45.8474372938,39.9808559479
2007-05-03 00:00:00+00:00,109.5124721977,40.6788761352,90.9436025579,54.9353486348,67.49,49.0029262109,29.9446597706,45.8170062323,40.0868925702
2007-05-04 00:00:00+00:00,109.9276449982,40.7138011201,91.1840305426,55.1594729039,68.19,49.4635377494,29.9206714187,45.8535235061,39.7384865257
2007-05-07 00:00:00+00:00,109.9494957766,40.7138011201,91.3901116724,55.3088890834,68.25,49.5372355956,30.1149770697,45.8839545677,39.8495725109
2007-05-08 00:00:00+00:00,109.8038212503,40.8011135823,91.4450666403,55.1843756005,67.88,49.1318974417,29.7239669325,45.89004078,39.5870056367
2007-05-09 00:00:00+00:00,110.1024614223,40.8884260445,91.7541883349,54.9664770055,67.45,49.4021228776,30.203733972,45.8352648692,40.0162014887
2007-05-10 00:00:00+00:00,108.9516139451,40.3296262864,91.0191656388,55.0972161625,66.0,48.425626416,29.4648927311,45.8778683554,39.4809690145
2007-05-11 00:00:00+00:00,109.8839441699,40.8447698134,91.747318964,54.9042202641,66.45,49.2424442109,30.2133293127,45.8170062323,40.0162014887
2007-05-14 00:00:00+00:00,109.6435761393,40.5653699343,91.8572288998,54.7610297588,66.28,49.0581995955,29.9134749131,45.7865751708,39.7889801553
2007-05-15 00:00:00+00:00,109.6727173086,40.2510450705,92.1320037395,54.7423527364,66.54,49.1441804161,29.9566539466,45.7683165339,39.1830565996
2007-05-16 00:00:00+00:00,110.4229516442,40.6439511503,92.8189408386,54.7049986915,65.6,49.2178782622,30.3836466118,45.7865751708,38.6983177551
2007-05-17 00:00:00+00:00,110.2044343919,40.4518637335,92.6884227898,54.4808744224,65.06,48.9660772878,30.2613060167,45.7196268354,38.0267524809
2007-05-18 00:00:00+00:00,111.1658948603,40.7836510898,93.3231870163,54.1197853221,65.52,49.346849493,30.4292244805,45.6100750139,37.6430008957
2007-05-21 00:00:00+00:00,111.107622719,41.0455884764,93.116567414,54.2816528498,65.67,49.1134729802,30.4700046789,45.670937137,37.7944817846
2007-05-22 00:00:00+00:00,111.020220334,41.0805134613,93.0890181337,54.0014975134,65.22,49.1564633904,30.4891953605,45.5979025893,38.3549610736
2007-05-23 00:00:00+00:00,111.0347909187,40.8884260445,93.116567414,53.8458556598,65.54,49.4082643648,30.4412186565,45.5613853155,38.0620980217
2007-05-24 00:00:00+00:00,110.0296186962,40.3034325478,92.558694488,53.895661053,64.75,48.9353698519,29.7095739213,45.5552991032,37.4258782882
2007-05-25 00:00:00+00:00,110.4885032508,40.5566386881,92.9030604917,53.7711475701,64.94,49.2485856981,30.1653526088,45.5613853155,37.6379515327
2007-05-29 00:00:00+00:00,110.8891163924,40.870963552,93.1303420542,53.7773732443,65.07,49.3100005699,30.0622026953,45.5005231924,38.9810820811
2007-05-30 00:00:00+00:00,111.7923054479,41.2027509083,93.8603979821,53.8769840305,64.72,49.518811134,30.3668547654,45.5431266786,40.0263002146
2007-05-31 00:00:00+00:00,111.675772091,41.3948383252,93.8672853022,53.7773732443,65.54,49.7644706213,30.4172303045,45.5066094048,39.8647205998
2007-06-01 00:00:00+00:00,112.2293399526,41.4210320638,94.0876795446,53.4956938628,66.44,50.0899694418,31.2160424253,45.4016538908,39.9202635924
2007-06-04 00:00:00+00:00,112.2439105372,41.5433568234,94.0532429442,53.7394527202,66.54,50.2250821598,31.0769099839,45.4505122754,40.0818432072
2007-06-05 00:00:00+00:00,111.799595839,41.5432695109,93.6537783799,53.4019404561,66.37,49.9671396982,30.9689624,45.3772246985,39.4456234738
2007-06-06 00:00:00+00:00,110.5977564141,41.0979759537,92.6275676887,53.3769395477,66.41,49.2485856981,30.1893409608,45.419975785,39.1780072367
2007-06-07 00:00:00+00:00,108.6019927512,40.4605076673,91.277652954,52.4206547993,65.26,48.4072019544,29.7239669325,45.1023962851,37.9459626735
2007-06-08 00:00:00+00:00,110.0150473832,40.9582760142,92.3589622058,52.3769032095,64.22,48.9353698519,30.2493118407,45.096288987,38.4004053402
2007-06-11 00:00:00+00:00,110.2044343919,40.8796947982,92.4553846868,52.2268977588,64.7,49.1011900058,30.508386042,45.0474306024,37.8247779624
2007-06-12 00:00:00+00:00,109.002594967,40.6352199041,91.5462584369,51.4706202781,64.1,48.2290988262,29.9950353098,44.8275678717,37.168360777
2007-06-13 00:00:00+00:00,110.6341777771,41.0805134613,92.841074611,52.0831425352,64.53,48.8555305186,30.5779522628,44.931391939,37.9914069402
2007-06-14 00:00:00+00:00,111.3407112844,41.3511820941,93.4609334178,51.9518877658,64.6,49.2178782622,31.0577193023,44.8703189583,37.5824085401
2007-06-15 00:00:00+00:00,111.9712044618,41.7064826965,93.9146976136,52.3081507113,64.85,49.6170749289,31.7653756855,45.096288987,37.9964563031
2007-06-18 00:00:00+00:00,111.8395280285,41.7414347038,93.7423011498,52.2018968504,64.95,49.893441852,31.7941617079,45.0474306024,37.4107301993
2007-06-19 00:00:00+00:00,112.1175029132,41.7326967019,93.969864482,52.6894145652,65.48,49.9425737495,31.8301442359,45.2611860351,37.4814212808
2007-06-20 00:00:00+00:00,110.5593973768,41.3394866199,92.9906525677,52.4394054807,65.04,49.6723483136,31.7605780151,45.0413233044,36.9108432659
2007-06-21 00:00:00+00:00,111.1738578951,41.7152206983,93.3492372124,52.014390037,64.56,49.8013195443,31.952484831,45.0657524967,36.5573373648
2007-06-22 00:00:00+00:00,110.1278133974,41.3220106163,92.3838170152,52.3519023011,64.78,49.1134729802,31.5302898362,45.1329327755,36.4210550584
2007-06-25 00:00:00+00:00,109.6011303407,41.1472505799,92.1424619659,52.6394127483,64.43,49.1011900058,31.2904063164,45.255078737,35.8312894642
2007-06-26 00:00:00+00:00,108.4746087837,40.9113245307,91.5770015646,52.6519132025,63.62,48.8555305186,31.0169391039,45.2367568428,35.6932211303
2007-06-27 00:00:00+00:00,110.0180813295,41.5404606618,92.4872548934,52.7019150194,63.67,49.2055952879,31.4487294395,45.2734006312,36.6085630476
2007-06-28 00:00:00+00:00,110.0034593114,41.5229846582,92.4665673178,52.6894145652,64.26,49.2915761084,31.4655212859,45.2123276505,36.4193582937
2007-06-29 00:00:00+00:00,110.0400256948,41.5928886728,92.5424217618,53.2331843241,64.27,49.6047919546,31.5806653753,45.3650101023,36.2812899598
2007-07-02 00:00:00+00:00,111.034870087,41.9511467475,93.2802786269,53.5117488212,65.02,50.3233459547,32.2163567027,45.4831838772,37.1199272471
2007-07-03 00:00:00+00:00,111.4371990577,42.2132868021,93.569904686,53.1854959265,64.74,50.5628639547,32.4730320688,45.385159774,37.0176544072
2007-07-05 00:00:00+00:00,111.3201563465,42.5191168659,93.4802585249,52.5894569843,64.42,50.3110629803,32.6169621807,45.2013645805,37.5750413848
2007-07-06 00:00:00+00:00,111.9053611246,42.6938769024,93.8733224623,52.376137784,64.96,50.6734107239,33.1758907817,45.1094669838,37.5290186068
2007-07-09 00:00:00+00:00,111.9931488272,42.7200909078,94.1146775116,52.5643606078,65.38,50.7962404675,33.4973346982,45.1584790354,37.5034503968
